resp_time,stress_level,sleep_hour,sleep_rate,exercise,Social2,working,relaxing,social_number,anxious,calm,disorganized,enthusiastic,critical,conventional
2013-04-03,0.0,7.0,1.0,1,1.0,3.4358974358974357,1.4871794871794872,2.0,2.56,3.4400000000000004,3.0933333333333333,2.733333333333334,2.266666666666666,3.8999999999999995
2013-04-04,0.3333333333333333,8.0,1.5,1,4.0,3.4358974358974357,1.4871794871794872,2.0,2.56,3.44,3.0933333333333333,2.733333333333333,2.2666666666666666,3.9
2013-04-05,0.25,6.0,1.0,1,4.0,3.4358974358974357,1.4871794871794872,2.0,2.56,3.44,3.0933333333333333,2.7333333333333334,2.2666666666666666,3.9
2013-04-07,1.0,8.0,1.0,1,3.0,3.4358974358974357,1.4871794871794872,2.0,2.56,3.44,3.0933333333333333,2.7333333333333334,2.2666666666666666,3.9
2013-04-08,1.0,7.0,2.0,1,3.75,3.717948717948718,1.7435897435897436,2.0,1.0,4.0,3.0,2.0,1.0,4.0
2013-04-09,0.75,8.0,1.0,1,3.5,3.0,3.0,2.0,2.5,3.5,4.0,3.0,1.5,4.0
2013-04-10,1.5,8.0,1.0,1,3.5,4.0,1.0,2.0,3.0,3.5,4.0,2.0,1.5,4.5
2013-04-11,1.0,8.0,1.0,1,3.5,3.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0
2013-04-21,1.0,8.0,1.0,1,3.5,4.0,1.0,2.0,2.0,4.5,2.5,3.0,2.0,3.5
2013-04-22,2.0,8.0,2.0,1,3.5,3.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0
2013-04-25,1.0,8.0,1.0,1,3.5,3.0,2.0,2.0,2.25,4.0,2.5,3.0,2.0,3.75
2013-04-27,1.0,8.0,1.0,1,3.5,4.0,1.0,2.0,2.0,4.0,2.5,2.5,2.0,3.5
2013-04-29,2.0,8.0,2.0,1,3.5,4.0,1.0,2.0,2.5,4.0,3.0,2.0,2.0,4.0
2013-05-01,1.0,10.0,1.0,1,3.5,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0
2013-05-02,1.0,8.0,1.0,1,3.5,3.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.95
2013-05-12,0.5,12.5,1.0,1,3.5,3.5,1.0,1.5,2.0,3.0,4.0,4.0,2.0,4.0
2013-05-15,1.0,10.0,1.0,1,3.5,5.0,1.0,2.0,3.25,3.0,3.5,3.0,3.0,4.0
2013-05-16,0.0,17.0,1.0,1,3.5,1.0,4.0,2.0,2.3333333333333335,3.6666666666666665,3.3333333333333335,2.3333333333333335,2.0,4.0
2013-05-17,0.0,13.0,1.0,1,3.5,4.0,1.0,2.0,3.5,2.0,3.0,3.0,3.5,3.0
2013-05-19,1.0,12.0,1.0,1,3.5,3.0,1.0,3.0,2.0,4.0,2.0,3.0,2.5,4.0
2013-05-24,1.0,11.0,1.0,1,3.5,3.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
